listing-title,agent,area,district,sub-district,land-size,bedroom,bathroom,listing-price,cluster
dijual rumah di welton at hiera fasilitas lengkap nyaman di bsd city,antoni ,BSD,Serpong,Serpong Utara,255,4,6,4900000000.0,2
dijual disewakan rumah luas di sektor 9 bintaro siap huni 2lantai,indah ayu ,Bintaro,,Bintaro,380,4,5,200000000.0,2
dijual dijual cluster cantik di graha raya,kenny ,Serpong,Serpong,Serpong Utara,163,5,4,3500000000.0,0
dijual the view rumah paling murah di kelas nya harga launching,rian ,Bintaro,,Bintaro,72,2,2,932000000.0,0
dijual rumah di jual di bsd 2lantai dalam cluster besar dekat stasiun rawa buntu,indah ayu ,BSD,,,128,3,2,3200000000.0,0
dijual disewakan cluster modern 2 tingkat di graha raya serpong,kenny ,Serpong,Serpong,Serpong Utara,90,3,2,75000000.0,0
dijual dijual rumah minimalis di serpong park,kenny ,Serpong,Serpong,Serpong,36,2,2,850000000.0,0
dijual rumah dijual dekat transmart bintaro minimalis modern 2lantai siap huni,indah ayu ,Bintaro,,Bintaro,120,5,3,1750000000.0,0
dijual jual rumah baru 2lt siap huni di pamulang 2km an ke unpam 5km an ke tol akses muat 2 mobil,nur hayatie ,Pamulang,Pamulang,,65,2,2,795000000.0,0
dijual dijual rumah keren di bintaro hill residence,kenny ,,Pondok Aren,Pondok Aren,320,7,4,4400000000.0,2
dijual rumah di jual di bintaro posisi hook design modern sangat nyaman asri,indah ayu ,Bintaro,,Bintaro,400,4,5,5900000000.0,2
dijual dijual rumah 2 lantai bintaro sektor 2,kenny ,Bintaro,,Bintaro,400,5,6,4000000000.0,2
dijual rumah mewah de latinos bsd sudah rapi siap huni,paula ,BSD,,,360,4,4,5500000000.0,2
dijual dijual rumah di bintaro sektor 2 tangerang selatan,artha ,Bintaro,,Bintaro,250,5,4,3500000000.0,2
dijual jual rumah bintaro sektor 2,artha ,Bintaro,,Bintaro,270,5,3,3200000000.0,2
dijual dijual rumah di ciputat lebak bulus cirendeu,artha ,Cirendeu,Ciputat,Ciputat,250,5,3,3200000000.0,2
dijual rumah di jual di bintaro sektor 5 baru renovasi siap huni,indah ayu ,Bintaro,,Bintaro,120,3,4,2600000000.0,0
dijual rumah bagus tersembunyi di cirendeu,gelora sukarno ,,Ciputat,Ciputat,500,4,3,10000000000.0,1
dijual dijual rumah di pondok aren minimalis siap huni bangunan baru,indah ayu ,Bintaro,Pondok Aren,Pondok Aren,45,2,1,960000000.0,0
dijual rumah dalam cluster keamann 24 jam di ciputat,teguh riyanto ,,Ciputat,Ciputat,77,3,2,1525000000.0,0
dijual di jual rumah di discovery bintaro jaya selangkah ke driving golf,indah ayu ,Bintaro,,Bintaro,220,5,4,3850000000.0,2
dijual rumah brand new dalam cluster di parigi,teguh riyanto ,,Pondok Aren,Pondok Aren,80,4,3,1400000000.0,0
dijual rumah dengan view attic terbaik di strozzi at symphonia strategis,antoni ,Gading Serpong,Pondok Aren,Pondok Aren,92,3,2,2400000000.0,0
dijual rumah di jual bagus siap huni strategis di sektor 5 bintaro jaya tangerang selatan,pradana ,Bintaro,,Bintaro,120,3,3,2300000000.0,0
